Titel,Kaltmiete,Anzahl Zimmer,Fläche in qm
Moderne 5-Zimmer Neubauwohnung," 2.774,77 € ", 5 ," 141,57 m² "
Moderne 3-Zimmer Neubauwohnung," 1.634,19 € ", 3 ," 82,12 m² "
* Einzigartiges Penthouse-Feeling mit Alpenblick - 4-Zi.-ERSTBEZUG-Whg. im modernen NEUBAU *, 3.395 € , 4 , 166 m² 
QVIII - CENTRE PIECE Möblierte Maisonette Wohnung im Palais an der Oper," 3.736,60 € ", 2 ," 87,92 m² "
Moderne 2-Zimmer Neubauwohnung," 1.127,73 € ", 2 ," 56,67 m² "
Mü-West *NEUBAU*: Moderne Studenten-Apartments mit Charme, 450 € , 1 ," 16,5 m² "
Moderne 4-Zimmer Neubauwohnung," 1.728,18 € ", 4 ," 93,42 m² "
QVIII ALTBAUJUWEL IM LEHEL, 7.020 € , 8 ," 336,84 m² "
Möblierte 2-Zimmer-Wohnung im Glockenbachviertel, 1.990 € , 2 , 65 m² 
Hochwertige 4-Zimmer-Wohnung mit Balkon und Stellplatz in München - Schwabing, 3.150 € , 4 , 98 m² 
"Sonnige, luxuriöse 3,5-Zimmer-Dachterassen-Maisonette-Wohnung in München - Gärtnerplatz", 3.150 € ," 3,5 ", 131 m² 
Außergewöhnlich schöne DG-Maisonette Whg. über 3 Etagen in bester Lage, 2.950 € , 5 , 135 m² 
"Altbogenhausen, 3-Zi-Whg., Mit 2 Balkonen + Wohnkü. Erstbez. nach Sanierung!", 2.440 € , 3 , 93 m² 
"Lehel,Bestlage,Altbau,Beletage 4-Zi-Küche-Bad, 2xBlk, Erker, Stuck, Parkett, saniert", 3.600 € , 4 , 101 m² 
BUCHBERGER Immobilien Sanierte Wohnung in attraktivem Altbau Nähe U 4+5, 750 € , 1 ," 40,92 m² "
WG geeignete 2 Zimmer Wohnung in Lehel Erdgeschoss, 1.600 € , 2 , 75 m² 
"3 Zimmer Neubau, München Hadern", 1.940 € , 3 , 101 m² 
"Erstbezug: 4,5 Zi-Whg. mit Süd-Loggia und Blick ins Grüne", 2.000 € ," 4,5 ", 108 m² 
Direkt vom Eigentümer: Traumhafte Dachterrassenwohnung mit Blick auf die Asam-Kirche, 2.650 € , 3 , 94 m² 
"Hochwertige 2,5-Zimmer-Wohnung mit Fernblick in München-Solln", 1.450 € ," 2,5 ", 68 m² 
Neu Möblierte 2-Zi. Whg. in Maxvorstadt, 1.490 € , 2 , 55 m² 
Geräumige 4-Zimmer-Altbau-Wohnung mit Balkon in Neuhausen, 2.498 € , 4 , 149 m² 
Exklusiv möblierte 2-Zimmer-Wohnung mitten in Schwabing-West, 1.900 € , 2 , 97 m² 
FLAUCHER AUEN - Businesswohnen EXCLUSIVE - INCLUSIVE, 895 € , 1 , 33 m² 
Moderne Stadtwohnung in der Ludwigsvorstadt, 1.450 € , 2 , 62 m² 
"Isarvorstadt- top 1-Zi-Wohnung vollmöbliert, sonnig, m. Balkon zum Innenhof, inkl. Internetflat, Was", 1.260 € , 1 , 34 m² 
Perfekt designte Altbauwohnung mit Kamin - Sehr hochwertig und exklusiv möbliert!, 3.750 € , 5 , 150 m² 
Direkt vom Eigentümer: Hochwertig sanierte Altbau Wohnung in zentraler Lage Sendlinger Straße," 2.523,50 € ", 3 , 103 m² 
Moderne Traumwohnung mitten in Schwabing!, 2.100 € , 2 ," 82,04 m² "
"Modern möblierte Wohnung, Schwabing-West, Nähe Luitpoldpark", 1.700 € , 2 , 79 m² 
"Stilvolle, gepflegte 2,5-Zimmer-Maisonette-Wohnung m. Terrasse und Einbauküche in Trudering, München", 1.444 € ," 2,5 ", 76 m² 
QVIII - Dachterrassenwohnung in einmaliger Lage von Harlaching, 2.300 € , 3 , 141 m² 
Neubau 4-Zimmer Wohnung mit großzügiger Loggia zum Erstbezug, 1.990 € , 4 ," 115,95 m² "
Neubau 3-Zimmer Wohnung zum Erstbezug mit zwei Loggien , 1.560 € , 3 ," 85,92 m² "
Idyllisch wohnen am Hirschgarten - mit Balkon, 1.707 € , 3 ," 103,9 m² "
Attraktive Wohnung in ruhiger Lage mit Süd-Balkon im beliebten Schwabing !, 1.392 € , 2 , 58 m² 
FLAUCHER AUEN - Businesswohnen EXCLUSIVE - INCLUSIVE, 1.080 € , 1 , 37 m² 
+ 3 Zimmer Wohnung + Loggia + U-Bahn zu Fuß erreichbar + ruhige Lage, 1.690 € , 3 ," 79,32 m² "
Sehr schöne möblierte 1-Zimmer Wohnung in München Bogenhausen, 1.050 € , 1 , 28 m² 
Attraktives Studenten-Apartment - Erstbezug! in Mü-Pasing, 455 € , 1 ," 16,6 m² "
"Möbliert: Direkt am Luitpoldpark: Neubau, neu, hochwertig möbl. 4-Zimmer-Wohnung für hohe Ansprüche", 4.000 € , 4 , 121 m² 
"Möbliert: Exklusive, möblierte 2,5-Galerie-Wohnung ", 2.100 € ," 2,5 ", 82 m² 
Möbliert: Sehr schöne möblierte 2-Zimmer Wohnung in München Mittersendling, 1.690 € , 2 , 65 m² 
Mü-West *NEUBAU*: Moderne Auszubildende-Apartments, 500 € , 1 , 21 m² 
"Studenten-Apartments (Erstbezug!) in München-West, Pasing, Stadparknähe", 460 € , 1 ," 16,6 m² "
FLAUCHER AUEN - Businesswohnen EXCLUSIVE - INCLUSIVE, 820 € , 1 , 25 m² 
OLYMPIA TOWER - Businesswohnen EXCLUSIVE - INCLUSIVE, 815 € , 1 ," 32,5 m² "
"Ab sofort! Ansprechende 2 Zi. Neubauwohnung, grüne, ruhige Lage, Marienplatz - 21 min, MAN, MTU...", 1.120 € , 2 ," 56,57 m² "
ATTRAKTIVE 2-ZIMMER-WOHNUNG IN BOGENHAUSEN, 2.000 € , 2 , 50 m² 
IMMOBILIEN SCHNEIDER -NEUBAU ERSTBEZUG - traumhaft schöne 3 Zimmer EG Whg. mit Hobbyraum, 1.770 € , 3 , 115 m² 
"Major Room // Hochwertiges Co-Living - fully furnished, top Lage und inkl. Cleaningservice", 900 € , 1 , 17 m² 
Fully furnished ROOM in a shared flat // Incl. Cleaningservice and Wifi + top Location!, 870 € , 1 , 25 m² 
Schicke 2-Zimmerwohnung in München Glockenbachviertel, 1.676 € , 2 , 67 m² 
"Möbliert: Sehr schöne möblierte 4,5-Zimmer Galeriewohnung in München Thalkirchen", 3.900 € ," 4,5 ", 135 m² 
"Erstbezug: Klimatisierte 2,5-Zimmer-Dachgeschosswohnung in den Schwabinger Gerberhöfen, München", 1.825 € ," 2,5 ", 74 m² 
"3,5-Zimmer-Wohnung in den Schwabinger Gerberhöfen, München mit Einbauküche", 2.125 € , 3 , 90 m² 
"Erstbezug mit EBK und großem Balkon: ruhige Innenhof-Wohnung in Alt-Riem, München", 820 € , 1 , 34 m² 
